game,team
Myrtle Beach Bowl,OHIO
Cricket Celebration Bowl,FAMU
R+L Carriers New Orleans Bowl,JVST
Avocados From Mexico Cure Bowl,APP
Isleta New Mexico Bowl,NMSU
Starco Brands LA Bowl,BOIS
Radiance Technologies Independence Bowl,TTU
Famous Toastery Bowl,WKU
Scooter's Coffee Frisco Bowl,UTSA
RoofClaim.com Boca Raton Bowl,SYR
Union Home Mortgage Gasparilla Bowl,UCF
76 Birmingham Bowl,TROY
Camellia Bowl,ARST
Lockheed Martin Armed Forces Bowl,JMU
Famous Idaho Potato Bowl,GAST
68 Ventures Bowl,USA
SRS Distribution Las Vegas Bowl,UTAH
EasyPost Hawai'i Bowl,SJSU
Quick Lane Bowl,MINN
SERVPRO First Responder Bowl,TXST
Guaranteed Rate Bowl,KU
Military Bowl Presented by GoBowling.com,VT
Duke's Mayo Bowl,UNC
DIRECTV Holiday Bowl,USC
TaxAct Texas Bowl,OKST
Wasabi Fenway Bowl,SMU
Bad Boy Mowers Pinstripe Bowl,MIA
Pop-Tarts Bowl,KSU
Valero Alamo Bowl,OU
TaxSlayer Gator Bowl,CLEM
Tony the Tiger Sun Bowl,ND
AutoZone Liberty Bowl,MEM
Goodyear Cotton Bowl Classic,OSU
Chick-fil-A Peach Bowl,MISS
TransPerfect Music City Bowl,MD
Capital One Orange Bowl,UGA
Barstool Sports Arizona Bowl,TOL
ReliaQuest Bowl,LSU
Cheez-It Citrus Bowl,TENN
Vrbo Fiesta Bowl,ORE
CFP Semifinal at the Rose Bowl Game Pres. by Prudential,ALA
CFP Semifinal at the Allstate Sugar Bowl,WASH
CFP National Championship Pres. by AT&T,WASH
Total Points Scored in Championship Game,52
,
