game,team
Myrtle Beach Bowl,OHIO
Cricket Celebration Bowl,FAMU
R+L Carriers New Orleans Bowl,JVST
Avocados From Mexico Cure Bowl,M-OH
Isleta New Mexico Bowl,NMSU
Starco Brands LA Bowl,BOIS
Radiance Technologies Independence Bowl,TTU
Famous Toastery Bowl,ODU
Scooter's Coffee Frisco Bowl,UTSA
RoofClaim.com Boca Raton Bowl,USF
Union Home Mortgage Gasparilla Bowl,UCF
76 Birmingham Bowl,TROY
Camellia Bowl,ARST
Lockheed Martin Armed Forces Bowl,AFA
Famous Idaho Potato Bowl,USU
68 Ventures Bowl,EMU
SRS Distribution Las Vegas Bowl,UTAH
EasyPost Hawai'i Bowl,SJSU
Quick Lane Bowl,MINN
SERVPRO First Responder Bowl,TXST
Guaranteed Rate Bowl,UNLV
Military Bowl Presented by GoBowling.com,VT
Duke's Mayo Bowl,WVU
DIRECTV Holiday Bowl,LOU
TaxAct Texas Bowl,OKST
Wasabi Fenway Bowl,SMU
Bad Boy Mowers Pinstripe Bowl,RUTG
Pop-Tarts Bowl,KSU
Valero Alamo Bowl,OU
TaxSlayer Gator Bowl,CLEM
Tony the Tiger Sun Bowl,ND
AutoZone Liberty Bowl,ISU
Goodyear Cotton Bowl Classic,OSU
Chick-fil-A Peach Bowl,PSU
TransPerfect Music City Bowl,AUB
Capital One Orange Bowl,UGA
Barstool Sports Arizona Bowl,WYO
ReliaQuest Bowl,LSU
Cheez-It Citrus Bowl,TENN
Vrbo Fiesta Bowl,ORE
CFP Semifinal at the Rose Bowl Game Pres. by Prudential,MICH
CFP Semifinal at the Allstate Sugar Bowl,TEX
CFP National Championship Pres. by AT&T,TEX
Total Points Scored in Championship Game,48
,
